Data is to be used only for analysis purposes related to broadband mapping,,,,
For questions contact bbdata@microsoft.com,,,,
,,,,
Broadband availability in the United States based on the FCC,,,,
Fourteenth Broadband Deployment Report: https://www.fcc.gov/reports-research/reports/broadband-progress-reports/fourteenth-broadband-deployment-report,,,,
Form 477 data as of December 2019,,,,
,,,,
Broadband* usage in the United States based on Microsoft data,,,,
Data for October 2020,,,,
* Download speed benchmark of 25Mbps,,,,
,,,,
Field list,Notes,,,
ST,State abbreviation,,,
COUNTY ID,FIPS Code,,,
COUNTY NAME,Full county name,,,
BROADBAND AVAILABILITY PER FCC,FCC broadband availability data from Form 477,,,
BROADBAND USAGE,Broadband usage based on Microsoft data for October 2020,,,
,,,,
ST,COUNTY ID,COUNTY NAME, BROADBAND AVAILABILITY PER FCC , BROADBAND USAGE 
AL,1001,Autauga County,0.8057,0.391
AL,1003,Baldwin County,0.8362,0.452
AL,1005,Barbour County,0.6891,0.324
AL,1007,Bibb County,0.3368,0.136
AL,1009,Blount County,0.758,0.199
AL,1011,Bullock County,0.9363,0.157
AL,1013,Butler County,0.6814,0.183
AL,1015,Calhoun County,0.9298,0.419
AL,1017,Chambers County,0.8453,0.501
AL,1019,Cherokee County,0.9892,0.125
AL,1021,Chilton County,0.6345,0.104
AL,1023,Choctaw County,0.2147,0.035
AL,1025,Clarke County,0.5585,0.092
AL,1027,Clay County,0.4291,0.081
AL,1029,Cleburne County,0.1731,0.1
AL,1031,Coffee County,0.913,0.531
AL,1033,Colbert County,0.8405,0.39
AL,1035,Conecuh County,0.4422,0.067
AL,1037,Coosa County,0.7828,0.095
AL,1039,Covington County,0.8336,0.366
AL,1041,Crenshaw County,0.729,0.196
AL,1043,Cullman County,0.7835,0.364
AL,1045,Dale County,0.9479,0.351
AL,1047,Dallas County,0.7637,0.249
AL,1049,DeKalb County,0.9883,0.402
AL,1051,Elmore County,0.9268,0.509
AL,1053,Escambia County,0.7474,0.243
AL,1055,Etowah County,0.9514,0.404
AL,1057,Fayette County,0.1989,0.077
AL,1059,Franklin County,0.6604,0.111
AL,1061,Geneva County,0.5956,0.176
AL,1063,Greene County,0.0085,0.013
AL,1065,Hale County,0.5144,0.095
AL,1067,Henry County,0.6405,0.107
AL,1069,Houston County,0.8734,0.54
AL,1071,Jackson County,0.9643,0.419
AL,1073,Jefferson County,0.9906,0.532
AL,1075,Lamar County,0.4309,0.095
AL,1077,Lauderdale County,0.8173,0.36
AL,1079,Lawrence County,0.5525,0.09
AL,1081,Lee County,0.9631,0.59
AL,1083,Limestone County,0.9079,0.555
AL,1085,Lowndes County,0.1441,0.063
AL,1087,Macon County,0.6502,0.114
AL,1089,Madison County,0.9644,0.747
AL,1091,Marengo County,0.1696,0.08
AL,1093,Marion County,0.8241,0.315
AL,1095,Marshall County,0.9598,0.561
AL,1097,Mobile County,0.935,0.506
AL,1099,Monroe County,0.8964,0.243
AL,1101,Montgomery County,0.9749,0.637
AL,1103,Morgan County,0.9167,0.589
AL,1105,Perry County,0.0012,0.032
AL,1107,Pickens County,0.5724,0.11
AL,1109,Pike County,0.9254,0.354
AL,1111,Randolph County,0.6422,0.161
AL,1113,Russell County,0.8929,0.402
AL,1115,St. Clair County,0.8901,0.361
AL,1117,Shelby County,0.9546,0.589
AL,1119,Sumter County,0.4666,0.13
AL,1121,Talladega County,0.8121,0.361
AL,1123,Tallapoosa County,0.9169,0.736
AL,1125,Tuscaloosa County,0.9228,0.487
AL,1127,Walker County,0.7725,0.306
AL,1129,Washington County,0.3114,0.045
AL,1131,Wilcox County,0.4144,0.098
AL,1133,Winston County,0.6272,0.15
AK,2013,Aleutians East Borough, -   ,0.066
AK,2016,Aleutians West Census Area, -   ,0.023
AK,2020,Anchorage Municipality,0.9969,0.753
AK,2050,Bethel Census Area, -   ,0.05
AK,2060,Bristol Bay Borough, -   ,0.054
AK,2068,Denali Borough,0.5536,0.133
AK,2070,Dillingham Census Area, -   ,0.052
AK,2090,Fairbanks North Star Borough,0.896,0.507
AK,2100,Haines Borough,0.9186,0.089
AK,2105,Hoonah-Angoon Census Area,0.25,0.203
AK,2110,Juneau City and Borough,0.9927,0.571
AK,2122,Kenai Peninsula Borough,0.975,0.365
AK,2130,Ketchikan Gateway Borough,0.9894,0.867
AK,2150,Kodiak Island Borough,0.8591,0.389
AK,2164,Lake and Peninsula Borough, -   ,0.161
AK,2170,Matanuska-Susitna Borough,0.9389,0.481
AK,2180,Nome Census Area,0.3515,0.038
AK,2185,North Slope Borough,0.0061,0.051
AK,2188,Northwest Arctic Borough,0.0081,0.039
AK,2195,Petersburg Census Area,0.7971,0.716
AK,2198,Prince of Wales-Hyder Census Area,0.0282,0.04
AK,2220,Sitka City and Borough,0.9772,0.681
AK,2230,Skagway Municipality,0.967,0.22
AK,2240,Southeast Fairbanks Census Area,0.5191,0.213
AK,2261,Valdez-Cordova Census Area,0.8438,0.432
AK,2158,Kusilvak Census Area, -   ,0.088
AK,2275,Wrangell City and Borough,0.8961,0.448
AK,2282,Yakutat City and Borough, -   ,0.024
AK,2290,Yukon-Koyukuk Census Area,0.013,0.139
AZ,4001,Apache County,0.2304,0.074
AZ,4003,Cochise County,0.7636,0.565
AZ,4005,Coconino County,0.6975,0.407
AZ,4007,Gila County,0.7391,0.463
AZ,4009,Graham County,0.7606,0.535
AZ,4011,Greenlee County,0.5281,0.253
AZ,4012,La Paz County,0.4485,0.344
AZ,4013,Maricopa County,0.9933,0.774
AZ,4015,Mohave County,0.761,0.636
AZ,4017,Navajo County,0.5934,0.381
AZ,4019,Pima County,0.9857,0.626
AZ,4021,Pinal County,0.9418,0.435
AZ,4023,Santa Cruz County,0.9713,0.231
AZ,4025,Yavapai County,0.9278,0.546
AZ,4027,Yuma County,0.8967,0.605
AR,5001,Arkansas County,0.2579,0.15
AR,5003,Ashley County,0.5229,0.088
AR,5005,Baxter County,0.7732,0.549
AR,5007,Benton County,0.9664,0.589
AR,5009,Boone County,0.9064,0.441
AR,5011,Bradley County,0.6446,0.101
AR,5013,Calhoun County,0.0852,0.202
AR,5015,Carroll County,0.9757,0.268
AR,5017,Chicot County,0.7473,0.024
AR,5019,Clark County,0.8211,0.307
AR,5021,Clay County,0.5947,0.164
AR,5023,Cleburne County,0.5629,0.244
AR,5025,Cleveland County,0.8391,0.015
AR,5027,Columbia County,0.6132,0.238
AR,5029,Conway County,0.4728,0.127
AR,5031,Craighead County,0.8323,0.66
AR,5033,Crawford County,0.8727,0.394
AR,5035,Crittenden County,0.7987,0.411
AR,5037,Cross County,0.5909,0.173
AR,5039,Dallas County,0.574,0.059
AR,5041,Desha County,0.704,0.187
AR,5043,Drew County,0.7014,0.208
AR,5045,Faulkner County,0.9507,0.375
AR,5047,Franklin County,0.2485,0.069
AR,5049,Fulton County,0.4479,0.161
AR,5051,Garland County,0.9697,0.434
AR,5053,Grant County,0.6828,0.246
AR,5055,Greene County,0.7666,0.503
AR,5057,Hempstead County,0.6645,0.216
AR,5059,Hot Spring County,0.5942,0.32
AR,5061,Howard County,0.2263,0.068
AR,5063,Independence County,0.7302,0.511
AR,5065,Izard County,0.6047,0.265
AR,5067,Jackson County,0.684,0.327
